I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
-108170,-183580,-128010,22331,106930,99456,Spoofed
-108169,-183579,-128009,22332,106931,99457,Spoofed
-108168,-183578,-128008,22333,106932,99458,Spoofed
-108167,-183577,-128007,22334,106933,99459,Spoofed
-108166,-183576,-128006,22335,106934,99460,Spoofed
-108165,-183575,-128005,22336,106935,99461,Spoofed
-108164,-183574,-128004,22337,106936,99462,Spoofed
-108163,-183573,-128003,22338,106937,99463,Spoofed
-108162,-183572,-128002,22339,106938,99464,Spoofed
-108161,-183571,-128001,22340,106939,99465,Spoofed
-108160,-183570,-128000,22341,106940,99466,Spoofed
-108159,-183569,-127999,22342,106941,99467,Spoofed
-108158,-183568,-127998,22343,106942,99468,Spoofed
-108157,-183567,-127997,22344,106943,99469,Spoofed
-108156,-183566,-127996,22345,106944,99470,Spoofed
-108155,-183565,-127995,22346,106945,99471,Spoofed
-108154,-183564,-127994,22347,106946,99472,Spoofed
-108153,-183563,-127993,22348,106947,99473,Spoofed
-108152,-183562,-127992,22349,106948,99474,Spoofed
-108151,-183561,-127991,22350,106949,99475,Spoofed
-108150,-183560,-127990,22351,106950,99476,Spoofed
-108149,-183559,-127989,22352,106951,99477,Spoofed
-108148,-183558,-127988,22353,106952,99478,Spoofed
-108147,-183557,-127987,22354,106953,99479,Spoofed
-108146,-183556,-127986,22355,106954,99480,Spoofed
-108145,-183555,-127985,22356,106955,99481,Spoofed
-108144,-183554,-127984,22357,106956,99482,Spoofed
-108143,-183553,-127983,22358,106957,99483,Spoofed
-108142,-183552,-127982,22359,106958,99484,Spoofed
-108141,-183551,-127981,22360,106959,99485,Spoofed
-108140,-183550,-127980,22361,106960,99486,Spoofed
-108139,-183549,-127979,22362,106961,99487,Spoofed
-108138,-183548,-127978,22363,106962,99488,Spoofed
-108137,-183547,-127977,22364,106963,99489,Spoofed
-108136,-183546,-127976,22365,106964,99490,Spoofed
-108135,-183545,-127975,22366,106965,99491,Spoofed
-108134,-183544,-127974,22367,106966,99492,Spoofed
-108133,-183543,-127973,22368,106967,99493,Spoofed
-108132,-183542,-127972,22369,106968,99494,Spoofed
-108131,-183541,-127971,22370,106969,99495,Spoofed
-108130,-183540,-127970,22371,106970,99496,Spoofed
-108129,-183539,-127969,22372,106971,99497,Spoofed
-108128,-183538,-127968,22373,106972,99498,Spoofed
-108127,-183537,-127967,22374,106973,99499,Spoofed
-108126,-183536,-127966,22375,106974,99500,Spoofed
-108125,-183535,-127965,22376,106975,99501,Spoofed
-108124,-183534,-127964,22377,106976,99502,Spoofed
-108123,-183533,-127963,22378,106977,99503,Spoofed
-108122,-183532,-127962,22379,106978,99504,Spoofed
-108121,-183531,-127961,22380,106979,99505,Spoofed
