I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
-99218,-169380,-156700,-281180,-57601,166540,Spoofed
-99217,-169379,-156699,-281179,-57600,166541,Spoofed
-99216,-169378,-156698,-281178,-57599,166542,Spoofed
-99215,-169377,-156697,-281177,-57598,166543,Spoofed
-99214,-169376,-156696,-281176,-57597,166544,Spoofed
-99213,-169375,-156695,-281175,-57596,166545,Spoofed
-99212,-169374,-156694,-281174,-57595,166546,Spoofed
-99211,-169373,-156693,-281173,-57594,166547,Spoofed
-99210,-169372,-156692,-281172,-57593,166548,Spoofed
-99209,-169371,-156691,-281171,-57592,166549,Spoofed
-99208,-169370,-156690,-281170,-57591,166550,Spoofed
-99207,-169369,-156689,-281169,-57590,166551,Spoofed
-99206,-169368,-156688,-281168,-57589,166552,Spoofed
-99205,-169367,-156687,-281167,-57588,166553,Spoofed
-99204,-169366,-156686,-281166,-57587,166554,Spoofed
-99203,-169365,-156685,-281165,-57586,166555,Spoofed
-99202,-169364,-156684,-281164,-57585,166556,Spoofed
-99201,-169363,-156683,-281163,-57584,166557,Spoofed
-99200,-169362,-156682,-281162,-57583,166558,Spoofed
-99199,-169361,-156681,-281161,-57582,166559,Spoofed
-99198,-169360,-156680,-281160,-57581,166560,Spoofed
-99197,-169359,-156679,-281159,-57580,166561,Spoofed
-99196,-169358,-156678,-281158,-57579,166562,Spoofed
-99195,-169357,-156677,-281157,-57578,166563,Spoofed
-99194,-169356,-156676,-281156,-57577,166564,Spoofed
-99193,-169355,-156675,-281155,-57576,166565,Spoofed
-99192,-169354,-156674,-281154,-57575,166566,Spoofed
-99191,-169353,-156673,-281153,-57574,166567,Spoofed
-99190,-169352,-156672,-281152,-57573,166568,Spoofed
-99189,-169351,-156671,-281151,-57572,166569,Spoofed
-99188,-169350,-156670,-281150,-57571,166570,Spoofed
-99187,-169349,-156669,-281149,-57570,166571,Spoofed
-99186,-169348,-156668,-281148,-57569,166572,Spoofed
-99185,-169347,-156667,-281147,-57568,166573,Spoofed
-99184,-169346,-156666,-281146,-57567,166574,Spoofed
-99183,-169345,-156665,-281145,-57566,166575,Spoofed
-99182,-169344,-156664,-281144,-57565,166576,Spoofed
-99181,-169343,-156663,-281143,-57564,166577,Spoofed
-99180,-169342,-156662,-281142,-57563,166578,Spoofed
-99179,-169341,-156661,-281141,-57562,166579,Spoofed
-99178,-169340,-156660,-281140,-57561,166580,Spoofed
-99177,-169339,-156659,-281139,-57560,166581,Spoofed
-99176,-169338,-156658,-281138,-57559,166582,Spoofed
-99175,-169337,-156657,-281137,-57558,166583,Spoofed
-99174,-169336,-156656,-281136,-57557,166584,Spoofed
-99173,-169335,-156655,-281135,-57556,166585,Spoofed
-99172,-169334,-156654,-281134,-57555,166586,Spoofed
-99171,-169333,-156653,-281133,-57554,166587,Spoofed
-99170,-169332,-156652,-281132,-57553,166588,Spoofed
-99169,-169331,-156651,-281131,-57552,166589,Spoofed
-99168,-169330,-156650,-281130,-57551,166590,Spoofed
-99167,-169329,-156649,-281129,-57550,166591,Spoofed
-99166,-169328,-156648,-281128,-57549,166592,Spoofed
-99165,-169327,-156647,-281127,-57548,166593,Spoofed
-99164,-169326,-156646,-281126,-57547,166594,Spoofed
-99163,-169325,-156645,-281125,-57546,166595,Spoofed
-99162,-169324,-156644,-281124,-57545,166596,Spoofed
-99161,-169323,-156643,-281123,-57544,166597,Spoofed
-99160,-169322,-156642,-281122,-57543,166598,Spoofed
-99159,-169321,-156641,-281121,-57542,166599,Spoofed
-99158,-169320,-156640,-281120,-57541,166600,Spoofed
-99157,-169319,-156639,-281119,-57540,166601,Spoofed
-99156,-169318,-156638,-281118,-57539,166602,Spoofed
-99155,-169317,-156637,-281117,-57538,166603,Spoofed
-99154,-169316,-156636,-281116,-57537,166604,Spoofed
-99153,-169315,-156635,-281115,-57536,166605,Spoofed
-99152,-169314,-156634,-281114,-57535,166606,Spoofed
-99151,-169313,-156633,-281113,-57534,166607,Spoofed
-99150,-169312,-156632,-281112,-57533,166608,Spoofed
-99149,-169311,-156631,-281111,-57532,166609,Spoofed
-99148,-169310,-156630,-281110,-57531,166610,Spoofed
-99147,-169309,-156629,-281109,-57530,166611,Spoofed
-99146,-169308,-156628,-281108,-57529,166612,Spoofed
-99145,-169307,-156627,-281107,-57528,166613,Spoofed
-99144,-169306,-156626,-281106,-57527,166614,Spoofed
-99143,-169305,-156625,-281105,-57526,166615,Spoofed
-99142,-169304,-156624,-281104,-57525,166616,Spoofed
-99141,-169303,-156623,-281103,-57524,166617,Spoofed
-99140,-169302,-156622,-281102,-57523,166618,Spoofed
-99139,-169301,-156621,-281101,-57522,166619,Spoofed
-99138,-169300,-156620,-281100,-57521,166620,Spoofed
-99137,-169299,-156619,-281099,-57520,166621,Spoofed
-99136,-169298,-156618,-281098,-57519,166622,Spoofed
-99135,-169297,-156617,-281097,-57518,166623,Spoofed
-99134,-169296,-156616,-281096,-57517,166624,Spoofed
-99133,-169295,-156615,-281095,-57516,166625,Spoofed
-99132,-169294,-156614,-281094,-57515,166626,Spoofed
-99131,-169293,-156613,-281093,-57514,166627,Spoofed
-99130,-169292,-156612,-281092,-57513,166628,Spoofed
-99129,-169291,-156611,-281091,-57512,166629,Spoofed
-99128,-169290,-156610,-281090,-57511,166630,Spoofed
-99127,-169289,-156609,-281089,-57510,166631,Spoofed
-99126,-169288,-156608,-281088,-57509,166632,Spoofed
-99125,-169287,-156607,-281087,-57508,166633,Spoofed
-99124,-169286,-156606,-281086,-57507,166634,Spoofed
-99123,-169285,-156605,-281085,-57506,166635,Spoofed
-99122,-169284,-156604,-281084,-57505,166636,Spoofed
-99121,-169283,-156603,-281083,-57504,166637,Spoofed
-99120,-169282,-156602,-281082,-57503,166638,Spoofed
-99119,-169281,-156601,-281081,-57502,166639,Spoofed
-99118,-169280,-156600,-281080,-57501,166640,Spoofed
-99117,-169279,-156599,-281079,-57500,166641,Spoofed
-99116,-169278,-156598,-281078,-57499,166642,Spoofed
-99115,-169277,-156597,-281077,-57498,166643,Spoofed
-99114,-169276,-156596,-281076,-57497,166644,Spoofed
-99113,-169275,-156595,-281075,-57496,166645,Spoofed
-99112,-169274,-156594,-281074,-57495,166646,Spoofed
-99111,-169273,-156593,-281073,-57494,166647,Spoofed
-99110,-169272,-156592,-281072,-57493,166648,Spoofed
-99109,-169271,-156591,-281071,-57492,166649,Spoofed
-99108,-169270,-156590,-281070,-57491,166650,Spoofed
-99107,-169269,-156589,-281069,-57490,166651,Spoofed
-99106,-169268,-156588,-281068,-57489,166652,Spoofed
-99105,-169267,-156587,-281067,-57488,166653,Spoofed
-99104,-169266,-156586,-281066,-57487,166654,Spoofed
-99103,-169265,-156585,-281065,-57486,166655,Spoofed
-99102,-169264,-156584,-281064,-57485,166656,Spoofed
-99101,-169263,-156583,-281063,-57484,166657,Spoofed
-99100,-169262,-156582,-281062,-57483,166658,Spoofed
-99099,-169261,-156581,-281061,-57482,166659,Spoofed
-99098,-169260,-156580,-281060,-57481,166660,Spoofed
-99097,-169259,-156579,-281059,-57480,166661,Spoofed
-99096,-169258,-156578,-281058,-57479,166662,Spoofed
-99095,-169257,-156577,-281057,-57478,166663,Spoofed
-99094,-169256,-156576,-281056,-57477,166664,Spoofed
-99093,-169255,-156575,-281055,-57476,166665,Spoofed
-99092,-169254,-156574,-281054,-57475,166666,Spoofed
-99091,-169253,-156573,-281053,-57474,166667,Spoofed
-99090,-169252,-156572,-281052,-57473,166668,Spoofed
