I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
-59325,-110200,-311600,-154250,13481,-11686,Spoofed
-59324,-110199,-311599,-154249,13482,-11685,Spoofed
-59323,-110198,-311598,-154248,13483,-11684,Spoofed
-59322,-110197,-311597,-154247,13484,-11683,Spoofed
-59321,-110196,-311596,-154246,13485,-11682,Spoofed
-59320,-110195,-311595,-154245,13486,-11681,Spoofed
-59319,-110194,-311594,-154244,13487,-11680,Spoofed
-59318,-110193,-311593,-154243,13488,-11679,Spoofed
-59317,-110192,-311592,-154242,13489,-11678,Spoofed
-59316,-110191,-311591,-154241,13490,-11677,Spoofed
-59315,-110190,-311590,-154240,13491,-11676,Spoofed
-59314,-110189,-311589,-154239,13492,-11675,Spoofed
-59313,-110188,-311588,-154238,13493,-11674,Spoofed
-59312,-110187,-311587,-154237,13494,-11673,Spoofed
-59311,-110186,-311586,-154236,13495,-11672,Spoofed
-59310,-110185,-311585,-154235,13496,-11671,Spoofed
-59309,-110184,-311584,-154234,13497,-11670,Spoofed
-59308,-110183,-311583,-154233,13498,-11669,Spoofed
-59307,-110182,-311582,-154232,13499,-11668,Spoofed
-59306,-110181,-311581,-154231,13500,-11667,Spoofed
-59305,-110180,-311580,-154230,13501,-11666,Spoofed
-59304,-110179,-311579,-154229,13502,-11665,Spoofed
-59303,-110178,-311578,-154228,13503,-11664,Spoofed
-59302,-110177,-311577,-154227,13504,-11663,Spoofed
-59301,-110176,-311576,-154226,13505,-11662,Spoofed
-59300,-110175,-311575,-154225,13506,-11661,Spoofed
-59299,-110174,-311574,-154224,13507,-11660,Spoofed
-59298,-110173,-311573,-154223,13508,-11659,Spoofed
-59297,-110172,-311572,-154222,13509,-11658,Spoofed
-59296,-110171,-311571,-154221,13510,-11657,Spoofed
-59295,-110170,-311570,-154220,13511,-11656,Spoofed
-59294,-110169,-311569,-154219,13512,-11655,Spoofed
-59293,-110168,-311568,-154218,13513,-11654,Spoofed
-59292,-110167,-311567,-154217,13514,-11653,Spoofed
-59291,-110166,-311566,-154216,13515,-11652,Spoofed
-59290,-110165,-311565,-154215,13516,-11651,Spoofed
-59289,-110164,-311564,-154214,13517,-11650,Spoofed
-59288,-110163,-311563,-154213,13518,-11649,Spoofed
-59287,-110162,-311562,-154212,13519,-11648,Spoofed
-59286,-110161,-311561,-154211,13520,-11647,Spoofed
-59285,-110160,-311560,-154210,13521,-11646,Spoofed
-59284,-110159,-311559,-154209,13522,-11645,Spoofed
-59283,-110158,-311558,-154208,13523,-11644,Spoofed
-59282,-110157,-311557,-154207,13524,-11643,Spoofed
-59281,-110156,-311556,-154206,13525,-11642,Spoofed
-59280,-110155,-311555,-154205,13526,-11641,Spoofed
-59279,-110154,-311554,-154204,13527,-11640,Spoofed
-59278,-110153,-311553,-154203,13528,-11639,Spoofed
-59277,-110152,-311552,-154202,13529,-11638,Spoofed
-59276,-110151,-311551,-154201,13530,-11637,Spoofed
-59275,-110150,-311550,-154200,13531,-11636,Spoofed
-59274,-110149,-311549,-154199,13532,-11635,Spoofed
-59273,-110148,-311548,-154198,13533,-11634,Spoofed
-59272,-110147,-311547,-154197,13534,-11633,Spoofed
-59271,-110146,-311546,-154196,13535,-11632,Spoofed
-59270,-110145,-311545,-154195,13536,-11631,Spoofed
-59269,-110144,-311544,-154194,13537,-11630,Spoofed
-59268,-110143,-311543,-154193,13538,-11629,Spoofed
-59267,-110142,-311542,-154192,13539,-11628,Spoofed
-59266,-110141,-311541,-154191,13540,-11627,Spoofed
-59265,-110140,-311540,-154190,13541,-11626,Spoofed
-59264,-110139,-311539,-154189,13542,-11625,Spoofed
-59263,-110138,-311538,-154188,13543,-11624,Spoofed
-59262,-110137,-311537,-154187,13544,-11623,Spoofed
-59261,-110136,-311536,-154186,13545,-11622,Spoofed
-59260,-110135,-311535,-154185,13546,-11621,Spoofed
-59259,-110134,-311534,-154184,13547,-11620,Spoofed
-59258,-110133,-311533,-154183,13548,-11619,Spoofed
-59257,-110132,-311532,-154182,13549,-11618,Spoofed
-59256,-110131,-311531,-154181,13550,-11617,Spoofed
-59255,-110130,-311530,-154180,13551,-11616,Spoofed
-59254,-110129,-311529,-154179,13552,-11615,Spoofed
-59253,-110128,-311528,-154178,13553,-11614,Spoofed
-59252,-110127,-311527,-154177,13554,-11613,Spoofed
-59251,-110126,-311526,-154176,13555,-11612,Spoofed
-59250,-110125,-311525,-154175,13556,-11611,Spoofed
-59249,-110124,-311524,-154174,13557,-11610,Spoofed
-59248,-110123,-311523,-154173,13558,-11609,Spoofed
-59247,-110122,-311522,-154172,13559,-11608,Spoofed
-59246,-110121,-311521,-154171,13560,-11607,Spoofed
-59245,-110120,-311520,-154170,13561,-11606,Spoofed
-59244,-110119,-311519,-154169,13562,-11605,Spoofed
-59243,-110118,-311518,-154168,13563,-11604,Spoofed
-59242,-110117,-311517,-154167,13564,-11603,Spoofed
-59241,-110116,-311516,-154166,13565,-11602,Spoofed
-59240,-110115,-311515,-154165,13566,-11601,Spoofed
-59239,-110114,-311514,-154164,13567,-11600,Spoofed
-59238,-110113,-311513,-154163,13568,-11599,Spoofed
-59237,-110112,-311512,-154162,13569,-11598,Spoofed
-59236,-110111,-311511,-154161,13570,-11597,Spoofed
-59235,-110110,-311510,-154160,13571,-11596,Spoofed
-59234,-110109,-311509,-154159,13572,-11595,Spoofed
-59233,-110108,-311508,-154158,13573,-11594,Spoofed
-59232,-110107,-311507,-154157,13574,-11593,Spoofed
-59231,-110106,-311506,-154156,13575,-11592,Spoofed
-59230,-110105,-311505,-154155,13576,-11591,Spoofed
-59229,-110104,-311504,-154154,13577,-11590,Spoofed
-59228,-110103,-311503,-154153,13578,-11589,Spoofed
-59227,-110102,-311502,-154152,13579,-11588,Spoofed
-59226,-110101,-311501,-154151,13580,-11587,Spoofed
-59225,-110100,-311500,-154150,13581,-11586,Spoofed
-59224,-110099,-311499,-154149,13582,-11585,Spoofed
-59223,-110098,-311498,-154148,13583,-11584,Spoofed
-59222,-110097,-311497,-154147,13584,-11583,Spoofed
-59221,-110096,-311496,-154146,13585,-11582,Spoofed
-59220,-110095,-311495,-154145,13586,-11581,Spoofed
-59219,-110094,-311494,-154144,13587,-11580,Spoofed
-59218,-110093,-311493,-154143,13588,-11579,Spoofed
-59217,-110092,-311492,-154142,13589,-11578,Spoofed
-59216,-110091,-311491,-154141,13590,-11577,Spoofed
-59215,-110090,-311490,-154140,13591,-11576,Spoofed
-59214,-110089,-311489,-154139,13592,-11575,Spoofed
-59213,-110088,-311488,-154138,13593,-11574,Spoofed
-59212,-110087,-311487,-154137,13594,-11573,Spoofed
-59211,-110086,-311486,-154136,13595,-11572,Spoofed
-59210,-110085,-311485,-154135,13596,-11571,Spoofed
-59209,-110084,-311484,-154134,13597,-11570,Spoofed
-59208,-110083,-311483,-154133,13598,-11569,Spoofed
-59207,-110082,-311482,-154132,13599,-11568,Spoofed
