I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
18818,-103290,-55216,-16799,-53699,-117790,Spoofed
18819,-103289,-55215,-16798,-53698,-117789,Spoofed
18820,-103288,-55214,-16797,-53697,-117788,Spoofed
18821,-103287,-55213,-16796,-53696,-117787,Spoofed
18822,-103286,-55212,-16795,-53695,-117786,Spoofed
18823,-103285,-55211,-16794,-53694,-117785,Spoofed
18824,-103284,-55210,-16793,-53693,-117784,Spoofed
18825,-103283,-55209,-16792,-53692,-117783,Spoofed
18826,-103282,-55208,-16791,-53691,-117782,Spoofed
18827,-103281,-55207,-16790,-53690,-117781,Spoofed
18828,-103280,-55206,-16789,-53689,-117780,Spoofed
18829,-103279,-55205,-16788,-53688,-117779,Spoofed
18830,-103278,-55204,-16787,-53687,-117778,Spoofed
18831,-103277,-55203,-16786,-53686,-117777,Spoofed
18832,-103276,-55202,-16785,-53685,-117776,Spoofed
18833,-103275,-55201,-16784,-53684,-117775,Spoofed
18834,-103274,-55200,-16783,-53683,-117774,Spoofed
18835,-103273,-55199,-16782,-53682,-117773,Spoofed
18836,-103272,-55198,-16781,-53681,-117772,Spoofed
18837,-103271,-55197,-16780,-53680,-117771,Spoofed
18838,-103270,-55196,-16779,-53679,-117770,Spoofed
18839,-103269,-55195,-16778,-53678,-117769,Spoofed
18840,-103268,-55194,-16777,-53677,-117768,Spoofed
18841,-103267,-55193,-16776,-53676,-117767,Spoofed
18842,-103266,-55192,-16775,-53675,-117766,Spoofed
18843,-103265,-55191,-16774,-53674,-117765,Spoofed
18844,-103264,-55190,-16773,-53673,-117764,Spoofed
18845,-103263,-55189,-16772,-53672,-117763,Spoofed
18846,-103262,-55188,-16771,-53671,-117762,Spoofed
18847,-103261,-55187,-16770,-53670,-117761,Spoofed
18848,-103260,-55186,-16769,-53669,-117760,Spoofed
18849,-103259,-55185,-16768,-53668,-117759,Spoofed
18850,-103258,-55184,-16767,-53667,-117758,Spoofed
18851,-103257,-55183,-16766,-53666,-117757,Spoofed
18852,-103256,-55182,-16765,-53665,-117756,Spoofed
18853,-103255,-55181,-16764,-53664,-117755,Spoofed
18854,-103254,-55180,-16763,-53663,-117754,Spoofed
18855,-103253,-55179,-16762,-53662,-117753,Spoofed
18856,-103252,-55178,-16761,-53661,-117752,Spoofed
18857,-103251,-55177,-16760,-53660,-117751,Spoofed
18858,-103250,-55176,-16759,-53659,-117750,Spoofed
18859,-103249,-55175,-16758,-53658,-117749,Spoofed
18860,-103248,-55174,-16757,-53657,-117748,Spoofed
18861,-103247,-55173,-16756,-53656,-117747,Spoofed
18862,-103246,-55172,-16755,-53655,-117746,Spoofed
18863,-103245,-55171,-16754,-53654,-117745,Spoofed
18864,-103244,-55170,-16753,-53653,-117744,Spoofed
18865,-103243,-55169,-16752,-53652,-117743,Spoofed
18866,-103242,-55168,-16751,-53651,-117742,Spoofed
18867,-103241,-55167,-16750,-53650,-117741,Spoofed
18868,-103240,-55166,-16749,-53649,-117740,Spoofed
18869,-103239,-55165,-16748,-53648,-117739,Spoofed
18870,-103238,-55164,-16747,-53647,-117738,Spoofed
18871,-103237,-55163,-16746,-53646,-117737,Spoofed
18872,-103236,-55162,-16745,-53645,-117736,Spoofed
18873,-103235,-55161,-16744,-53644,-117735,Spoofed
18874,-103234,-55160,-16743,-53643,-117734,Spoofed
18875,-103233,-55159,-16742,-53642,-117733,Spoofed
18876,-103232,-55158,-16741,-53641,-117732,Spoofed
18877,-103231,-55157,-16740,-53640,-117731,Spoofed
18878,-103230,-55156,-16739,-53639,-117730,Spoofed
18879,-103229,-55155,-16738,-53638,-117729,Spoofed
18880,-103228,-55154,-16737,-53637,-117728,Spoofed
18881,-103227,-55153,-16736,-53636,-117727,Spoofed
18882,-103226,-55152,-16735,-53635,-117726,Spoofed
18883,-103225,-55151,-16734,-53634,-117725,Spoofed
18884,-103224,-55150,-16733,-53633,-117724,Spoofed
18885,-103223,-55149,-16732,-53632,-117723,Spoofed
18886,-103222,-55148,-16731,-53631,-117722,Spoofed
18887,-103221,-55147,-16730,-53630,-117721,Spoofed
18888,-103220,-55146,-16729,-53629,-117720,Spoofed
18889,-103219,-55145,-16728,-53628,-117719,Spoofed
18890,-103218,-55144,-16727,-53627,-117718,Spoofed
18891,-103217,-55143,-16726,-53626,-117717,Spoofed
18892,-103216,-55142,-16725,-53625,-117716,Spoofed
18893,-103215,-55141,-16724,-53624,-117715,Spoofed
18894,-103214,-55140,-16723,-53623,-117714,Spoofed
18895,-103213,-55139,-16722,-53622,-117713,Spoofed
